SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
Bluespotted seabass,Cephalopholis taeniops,Least Concern,Stable
Bluestriped grunt,Haemulon sciurus,Least Concern,Unknown
Blunthead puffer,Sphoeroides pachygaster,Least Concern,Unknown
Bobo mullet,Joturus pichardi,Least Concern,Decreasing
Bonga shad,Ethmalosa fimbriata,Least Concern,Unknown
Brassy trevally,Caranx papuensis,Least Concern,Unknown
Brazilian menhaden,Brevoortia aurea,Least Concern,Stable
Brazilian sardinella,Sardinella brasiliensis,Data Deficient,Unknown
Broad-barred king mackerel,Scomberomorus semifasciatus,Least Concern,Unknown
Broad-striped anchovy,Anchoa hepsetus,Least Concern,Unknown
Broadtail shortfin squid,Illex coindetii,Least Concern,Unknown
Bronzestripe grunt,Haemulon boschmae,Least Concern,Unknown
Broomtail grouper,Mycteroperca xenarcha,Data Deficient,Decreasing
Brown comber,Serranus hepatus,Least Concern,Unknown
Brown-marbled grouper,Epinephelus fuscoguttatus,Vulnerable,Decreasing
Brownspotted grouper,Epinephelus chlorostigma,Least Concern,Stable
Brushtooth lizardfish,Saurida undosquamis,Least Concern,Stable
Buccaneer anchovy,Encrasicholina punctifer,Least Concern,Unknown
Bullet tuna,Auxis rochei,Least Concern,Stable
Burbot,Lota lota,Least Concern,Stable
Cabinza grunt,Isacia conceptionis,Least Concern,Unknown
Californian anchovy,Engraulis mordax,Data Deficient,Unknown
Camouflage grouper,Epinephelus polyphekadion,Vulnerable,Decreasing
Cape gurnard,Chelidonichthys capensis,Least Concern,Stable
Cape horse mackerel,Trachurus capensis,Least Concern,Unknown
Cardinal snapper,Pristipomoides macrophthalmus,Least Concern,Unknown
Cayenne pompano,Trachinotus cayennensis,Least Concern,Stable
Cero,Scomberomorus regalis,Least Concern,Unknown
Chacunda gizzard shad,Anodontostoma chacunda,Least Concern,Unknown
Chere-chere grunt,Haemulon steindachneri,Least Concern,Unknown
Chilean jack mackerel,Trachurus murphyi,Data Deficient,Unknown
Chilean silverside,Odontesthes regia,Least Concern,Stable
Chinese gizzard shad,Clupanodon thrissa,Least Concern,Unknown
Chocolate hind,Cephalopholis boenak,Least Concern,Stable
Cocoa snapper,Paracaesio stonei,Least Concern,Unknown
Comb grouper,Mycteroperca acutirostris,Least Concern,Stable
Comber,Serranus cabrilla,Least Concern,Stable
Comet grouper,Epinephelus morrhua,Least Concern,Stable
Common bluestripe snapper,Lutjanus kasmira,Least Concern,Unknown
Common dab,Limanda limanda,Least Concern,Increasing
Common dolphinfish,Coryphaena hippurus,Least Concern,Stable
Common sole,Solea solea,Data Deficient,Stable
Coney,Cephalopholis fulva,Least Concern,Decreasing
Coral hind,Cephalopholis miniata,Least Concern,Stable
Cottonmouth jack,Uraspis secunda,Least Concern,Stable
Creole-fish,Paranthias furcifer,Least Concern,Stable
Crevalle jack,Caranx hippos,Least Concern,Stable
Crimson jobfish,Pristipomoides filamentosus,Least Concern,Unknown
Crimson snapper,Lutjanus erythropterus,Least Concern,Unknown
Cunene horse mackerel,Trachurus trecae,Least Concern,Stable
Curlfin sole,Pleuronichthys decurrens,Least Concern,Stable
Darkfin hind,Cephalopholis urodeta,Least Concern,Stable
Dash-and-dot goatfish,Parupeneus barberinus,Least Concern,Unknown
Deep-water red snapper,Etelis carbunculus,Least Concern,Unknown
Deepwater longtail red snapper,Etelis coruscans,Least Concern,Unknown
Devil anglerfish,Lophius vomerinus,Near Threatened,Unknown
Dog snapper,Lutjanus jocu,Data Deficient,Decreasing
Dogtooth grouper,Epinephelus caninus,Data Deficient,Unknown
Dogtooth tuna,Gymnosarda unicolor,Least Concern,Unknown
Dory snapper,Lutjanus fulviflamma,Least Concern,Unknown
Dot-dash grouper,Epinephelus poecilonotus,Least Concern,Unknown
Dotted gizzard shad,Konosirus punctatus,Least Concern,Unknown
Double-lined mackerel,Grammatorcynus bilineatus,Least Concern,Unknown
Doublespotted queenfish,Scomberoides lysan,Least Concern,Unknown
Dover sole,Microstomus pacificus,Least Concern,Stable
Dungat grouper,Epinephelus goreensis,Near Threatened,Decreasing
Dusky grouper,Epinephelus marginatus,Vulnerable,Decreasing
Duskytail grouper,Epinephelus bleekeri,Data Deficient,Decreasing
Dussumier's thryssa,Thryssa dussumieri,Least Concern,Unknown
Eastern Pacific bonito,Sarda chiliensis,Least Concern,Decreasing
Egyptian sole,Solea aegyptiaca,Least Concern,Stable
Emperor red snapper,Lutjanus sebae,Least Concern,Decreasing
Escolar,Lepidocybium flavobrunneum,Least Concern,Unknown
European anchovy,Engraulis encrasicolus,Least Concern,Decreasing
European conger,Conger conger,Least Concern,Increasing
European eel,Anguilla anguilla,Critically Endangered,Decreasing
European flounder,Platichthys flesus,Least Concern,Decreasing
European flying squid,Todarodes sagittatus,Least Concern,Unknown
European hake,Merluccius merluccius,Least Concern,Unknown
European pilchard(=Sardine),Sardina pilchardus,Least Concern,Unknown
European plaice,Pleuronectes platessa,Least Concern,Increasing
European sprat,Sprattus sprattus,Least Concern,Unknown
