SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
West coast sole,Austroglossus microlepis,Data Deficient,Decreasing
White grouper,Epinephelus aeneus,Near Threatened,Decreasing
White grunt,Haemulon plumierii,Least Concern,Decreasing
White margate,Haemulon album,Data Deficient,Decreasing
White mullet,Mugil curema,Least Concern,Unknown
White sardinella,Sardinella albella,Least Concern,Unknown
White trevally,Pseudocaranx dentex,Least Concern,Unknown
White-blotched grouper,Epinephelus multinotatus,Least Concern,Decreasing
White-edged lyretail,Variola albimarginata,Least Concern,Decreasing
White-spotted puffer,Arothron hispidus,Least Concern,Unknown
Whitehead's round herring,Etrumeus whiteheadi,Least Concern,Unknown
Whitespotted conger,Conger myriaster,Least Concern,Unknown
Whitetongue jack,Uraspis helvola,Least Concern,Unknown
Whiting,Merlangius merlangus,Least Concern,Unknown
Yellow goatfish,Mulloidichthys martinicus,Least Concern,Unknown
Yellow snapper,Lutjanus argentiventris,Least Concern,Unknown
Yellow-edged lyretail,Variola louti,Least Concern,Stable
Yellow-eye mullet,Aldrichetta forsteri,Least Concern,Stable
Yellowedge grouper,Hyporthodus flavolimbatus,Vulnerable,Decreasing
Yellowfin goatfish,Mulloidichthys vanicolensis,Least Concern,Stable
Yellowfin grouper,Mycteroperca venenosa,Near Threatened,Decreasing
Yellowfin hind,Cephalopholis hemistiktos,Least Concern,Decreasing
Yellowfin sole,Limanda aspera,Least Concern,Decreasing
Yellowfin tuna,Thunnus albacares,Least Concern,Decreasing
Yellowmouth grouper,Mycteroperca interstitialis,Vulnerable,Decreasing
Yellowspotted trevally,Carangoides fulvoguttatus,Least Concern,Unknown
Yellowstripe goatfish,Mulloidichthys flavolineatus,Least Concern,Stable
Yellowstripe scad,Selaroides leptolepis,Least Concern,Unknown
Yellowstriped goatfish,Upeneus vittatus,Least Concern,Unknown
Yellowtail amberjack,Seriola lalandi,Least Concern,Stable
Yellowtail blue snapper,Paracaesio xanthura,Least Concern,Unknown
Yellowtail horse mackerel,Trachurus novaezelandiae,Least Concern,Unknown
Yellowtail scad,Atule mate,Least Concern,Unknown
Yellowtail snapper,Ocyurus chrysurus,Data Deficient,Decreasing
